,DL,IL,EL
9238,2,2,5
6998,2,2,1
5777,2,3,6
6323,2,5,6
2740,1,2,8
7041,2,5,5
88,1,2,7
7907,2,5,7
873,1,3,9
8071,2,2,3
2597,1,2,5
5166,2,4,5
6594,2,1,2
848,1,2,7
6293,2,3,1
6136,2,2,6
7416,2,1,1
5,1,3,6
5462,2,4,6
493,1,1,10
5989,2,3,4
1243,1,3,6
8354,2,3,2
3180,1,2,9
1040,1,1,8
8674,2,5,6
6369,2,2,3
6115,2,5,6
113,1,2,5
3499,1,2,7
7882,2,5,6
4684,1,1,4
9335,2,4,6
8153,2,5,3
9686,2,1,6
2212,1,3,10
3575,1,3,4
6716,2,5,2
5355,2,4,6
8194,2,1,6
335,1,3,2
4484,1,3,4
4310,1,1,10
8452,2,5,4
8372,2,4,3
6951,2,2,1
2048,1,1,5
1974,1,3,6
8701,2,5,2
4368,1,3,5
2209,1,1,4
8331,2,3,7
2143,1,3,7
423,1,1,6
8103,2,4,4
5610,2,3,2
1518,1,1,10
6633,2,1,7
1567,1,3,7
1133,1,1,9
8445,2,3,2
9205,2,4,2
5314,2,2,2
9871,2,4,5
6565,2,1,6
2371,1,2,2
4650,1,1,7
3686,1,1,9
7997,2,4,1
7719,2,1,2
8708,2,5,5
428,1,1,4
2012,1,3,4
7486,2,5,5
8178,2,1,7
9980,2,3,1
6793,2,5,6
9112,2,2,2
8269,2,4,7
9916,2,5,5
9719,2,1,7
7953,2,4,2
5566,2,2,3
9925,2,5,3
2157,1,3,1
4088,1,3,8
1387,1,3,2
6005,2,1,3
7166,2,1,7
7008,2,4,6
4035,1,3,1
5719,2,1,7
8783,2,5,3
8455,2,4,1
7155,2,5,7
7873,2,5,7
7047,2,1,3
9251,2,2,3
4889,1,2,10
4654,1,2,6
5129,2,3,2
183,1,3,9
9593,2,1,2
8720,2,5,7
8050,2,1,6
9194,2,5,5
3560,1,3,1
866,1,2,10
4643,1,3,2
5826,2,3,7
7355,2,3,5
3467,1,2,2
2309,1,3,1
3472,1,1,2
969,1,2,1
3571,1,2,2
3849,1,3,1
5058,2,2,4
7456,2,4,4
116,1,2,9
2763,1,1,3
8692,2,3,6
916,1,1,6
1683,1,1,4
6332,2,4,2
6949,2,2,4
5729,2,3,5
7601,2,1,1
1157,1,1,2
3016,1,1,2
411,1,3,3
8021,2,1,6
9785,2,2,5
1253,1,1,1
6375,2,5,1
5771,2,4,7
6126,2,2,1
1461,1,3,3
2490,1,1,7
4298,1,1,9
4160,1,2,4
4378,1,1,2
5852,2,3,3
1858,1,3,10
6220,2,4,4
6370,2,1,1
9879,2,1,4
2850,1,3,2
2565,1,3,2
9434,2,5,4
2495,1,3,9
1848,1,1,3
6963,2,4,1
1845,1,1,6
2988,1,2,2
5356,2,2,6
2913,1,1,8
4612,1,2,8
6885,2,2,6
5206,2,1,4
254,1,1,9
1374,1,2,5
9787,2,3,3
8202,2,3,6
2621,1,1,9
8911,2,4,5
3579,1,2,3
2450,1,2,5
1192,1,3,4
8614,2,5,4
6174,2,5,1
8749,2,5,3
7316,2,2,3
1125,1,1,1
6433,2,1,2
2270,1,2,3
9294,2,1,6
2678,1,3,6
9874,2,3,3
9156,2,3,6
7205,2,3,1
5984,2,4,2
7015,2,2,5
5079,2,3,6
309,1,2,10
3042,1,3,4
9168,2,3,3
7077,2,5,4
3494,1,1,4
6575,2,3,7
4710,1,1,9
6995,2,5,4
4946,1,1,9
4604,1,3,1
3111,1,3,7
4330,1,1,10
4703,1,1,4
4104,1,1,3
9655,2,2,3
9614,2,2,2
9348,2,3,5
9087,2,2,4
6234,2,5,4
6262,2,3,6
5832,2,1,7
2754,1,1,1
1196,1,2,9
2493,1,2,5
8317,2,4,7
1063,1,2,9
2647,1,3,3
9021,2,3,2
7186,2,5,3
4705,1,3,4
8640,2,5,5
8928,2,4,3
9713,2,3,5
7820,2,1,2
5000,1,1,4
9079,2,3,5
759,1,2,2
3167,1,1,3
5309,2,1,5
5512,2,1,1
3583,1,1,9
101,1,1,3
1586,1,1,6
1106,1,3,6
2099,1,2,5
1572,1,2,5
8866,2,5,3
6349,2,4,6
6207,2,4,4
7969,2,4,6
9635,2,2,7
4908,1,1,6
8624,2,2,5
7129,2,1,2
2739,1,3,4
8109,2,4,2
8069,2,4,7
7538,2,1,1
5957,2,5,3
769,1,3,8
7225,2,4,2
2313,1,1,5
5774,2,4,2
2074,1,2,7
3520,1,3,9
5174,2,1,5
740,1,1,9
144,1,3,10
6442,2,2,1
3565,1,2,2
1025,1,1,10
5632,2,3,3
1299,1,1,4
432,1,2,2
5484,2,1,1
344,1,1,1
3165,1,1,10
8198,2,4,7
1257,1,2,8
257,1,2,6
3855,1,2,1
9766,2,2,6
392,1,3,2
2708,1,1,7
8495,2,1,1
2477,1,1,3
6916,2,4,3
6854,2,3,1
297,1,1,9
7525,2,2,3
2205,1,1,5
4357,1,3,6
6992,2,3,7
7659,2,5,6
6666,2,1,2
1536,1,3,6
743,1,1,3
6894,2,3,3
8325,2,4,3
522,1,2,6
7004,2,5,7
7636,2,4,3
1657,1,3,6
4279,1,1,10
7313,2,5,6
6835,2,3,1
73,1,2,2
6571,2,5,6
9391,2,4,3
3853,1,3,3
84,1,1,6
8012,2,4,7
9398,2,3,3
3234,1,2,6
1474,1,1,4
2293,1,2,2
6056,2,2,7
9586,2,3,6
3393,1,1,7
9912,2,5,6
6914,2,4,3
9044,2,1,2
1249,1,3,1
1527,1,1,2
3965,1,2,7
9708,2,5,3
6713,2,2,4
5931,2,3,1
1076,1,1,9
407,1,2,9
3695,1,3,1
2261,1,2,2
7579,2,4,4
7379,2,5,1
949,1,3,5
3061,1,1,6
4137,1,2,2
7789,2,5,3
9895,2,2,5
6251,2,2,1
4256,1,2,6
1039,1,3,5
5776,2,2,7
1143,1,2,7
474,1,1,1
5207,2,1,4
3098,1,2,6
5630,2,5,7
9133,2,4,5
9844,2,2,5
6417,2,1,1
4418,1,2,1
6260,2,2,4
8267,2,3,2
9187,2,1,5
651,1,2,2
9632,2,5,7
775,1,2,2
2413,1,2,8
458,1,1,2
8038,2,5,3
5981,2,3,7
2793,1,3,4
6989,2,5,3
1103,1,3,3
6475,2,5,2
1625,1,2,3
2296,1,1,8
2916,1,1,4
2741,1,3,2
2809,1,3,10
2517,1,1,4
971,1,1,2
5023,1,2,4
9407,2,3,2
2368,1,2,9
3424,1,2,3
57,1,1,4
7787,2,1,3
2434,1,3,10
4733,1,1,1
3430,1,1,9
466,1,2,1
6029,2,4,4
9763,2,3,2
5707,2,5,3
3163,1,1,6
8781,2,2,2
5253,2,4,7
3574,1,2,6
1941,1,3,4
157,1,2,7
4311,1,3,9
5372,2,5,3
716,1,3,4
5577,2,1,5
2543,1,3,10
14,1,1,7
4558,1,2,10
6553,2,4,5
6039,2,1,7
8367,2,3,1
1420,1,1,1
9554,2,4,5
5905,2,4,7
662,1,2,10
2660,1,2,3
2887,1,2,5
8082,2,5,2
158,1,3,7
972,1,1,6
1141,1,2,7
9257,2,2,3
2336,1,3,3
8895,2,4,2
5220,2,4,7
8244,2,3,4
6452,2,2,6
1107,1,2,5
7267,2,4,1
8560,2,4,4
3323,1,1,9
147,1,1,4
8421,2,1,7
9285,2,5,1
8132,2,5,2
9035,2,5,6
7370,2,4,3
4725,1,1,3
9300,2,5,1
5573,2,5,3
4420,1,2,8
7935,2,3,3
2454,1,2,3
8589,2,5,1
3782,1,2,8
1522,1,2,9
81,1,1,3
4522,1,2,9
9462,2,4,4
1703,1,1,3
1854,1,1,5
197,1,2,10
3460,1,2,10
7023,2,2,3
2766,1,1,10
7964,2,5,4
4550,1,3,1
3280,1,1,2
3480,1,3,10
7550,2,5,2
7358,2,4,6
8989,2,5,6
8242,2,1,7
3012,1,1,7
8528,2,3,7
7982,2,1,6
8547,2,2,4
3166,1,1,6
555,1,3,3
9675,2,5,2
4930,1,3,10
417,1,3,1
3490,1,1,4
4038,1,1,8
7660,2,2,1
637,1,3,10
5562,2,5,6
1169,1,2,8
9695,2,3,6
7752,2,3,1
5164,2,4,1
549,1,3,2
7342,2,3,4
